lat,lon,alt,dop,speed
65.994117,19.370673,346.505,8.05,1.002
65.994016,19.371445,351.862,6.82,0.867
65.993922,19.37108,366.082,6.09,1.167
65.994032,19.371911,355.133,1.42,0.018
65.993469,19.372998,323.153,2.86,0.081
65.993564,19.373064,356.425,2.64,0.213
65.993491,19.372881,342.704,3.23,0.009
65.993409,19.372941,306.424,6.1,0.054
65.993566,19.372981,348.549,6.7,0.344
65.993481,19.372892,345.153,14.33,0.065
65.993699,19.373229,345.003,23.45,0.313
65.99353,19.372948,332.135,2.27,0.007
65.99352,19.373023,321.803,6.86,0.04
65.993489,19.373142,352.7,5.4,0.071
65.993564,19.373306,328.697,3.42,0.241
65.993567,19.373067,345.15,2.63,0.248
65.993494,19.373044,340.329,4.11,0.035
65.993593,19.373152,367.716,3.72,1.36
65.993505,19.372967,344.696,3.56,1.408
65.993575,19.373052,344.067,3.52,0.197
65.99352,19.373035,345.165,2.04,0.31
65.993528,19.373057,358.302,6.02,0.152
65.993475,19.373045,341.784,4.4,1.619
65.993612,19.37336,367.508,5.72,0.874
65.993576,19.373437,367.51,3.13,0.035
65.993478,19.372882,330.438,12.43,0.002
65.99352,19.372775,353.441,6.04,0.144
65.99345,19.372338,327.34,5.09,2.629
65.993523,19.373049,344.152,2.06,0.021
65.993702,19.372891,330.143,2.71,0.268
65.994041,19.373193,401.555,2.94,0.247
65.994339,19.374389,326.781,3.57,1.579
65.994894,19.374398,388.668,2.55,0.441
65.995245,19.374264,360.026,2.16,1.045
65.995033,19.374682,360.788,4.4,0.108
65.995117,19.374458,386.879,22.31,0.128
65.995015,19.37382,368.483,5.0,0.692
65.994944,19.374435,346.269,5.81,0.269
65.994099,19.376187,353.108,2.49,0.462
65.996033,19.38473,353.474,2.27,0.031
65.996218,19.38492,356.35,2.21,0.365
65.996298,19.384439,342.956,1.99,0.084
65.996508,19.384062,371.364,5.5,0.053
65.996424,19.385059,348.772,5.69,0.021
65.99632,19.385046,372.883,5.43,0.164
65.995802,19.383344,380.93,6.06,0.014
65.996133,19.373548,359.747,7.06,1.001
65.999232,19.365912,353.61,2.67,0.026
65.999404,19.365435,346.189,2.75,0.136
65.999513,19.365159,374.453,3.55,1.405
65.999422,19.365095,348.375,2.17,1.197
65.999239,19.364538,369.239,4.81,0.04
65.999039,19.364237,347.324,4.24,0.035
65.999068,19.364309,352.973,3.38,0.051
65.998937,19.364443,356.658,3.6,0.035
65.999136,19.363849,302.07,12.93,0.145
65.999139,19.364027,377.488,5.47,1.075
65.999196,19.363726,381.391,3.39,0.794
65.999418,19.362778,350.908,1.97,0.025
65.999387,19.362713,343.208,3.97,0.014
65.999584,19.362568,344.664,6.85,0.394
65.999386,19.362814,362.414,6.73,0.081
65.999428,19.362796,356.246,1.63,0.026
65.999334,19.362417,352.497,2.08,0.099
65.999226,19.362377,358.065,5.15,0.118
65.999184,19.362122,354.283,2.05,0.035
65.999113,19.362176,342.739,3.54,0.466
65.99921,19.362133,354.44,3.45,0.317
65.998828,19.361579,337.973,2.34,0.141
65.998896,19.361829,345.676,3.46,0.21
65.998921,19.361391,352.432,6.86,0.066
65.999,19.360926,354.441,2.06,0.021
65.999189,19.360685,355.159,3.6,0.11
65.99918,19.360779,360.993,2.86,0.871
65.99925,19.360611,353.762,3.86,0.58
65.999472,19.360576,361.913,6.88,0.137
65.999607,19.360371,358.612,4.02,0.079
65.999601,19.360101,385.926,2.72,0.39
65.999578,19.360289,375.069,4.54,0.023
65.99952,19.360382,360.329,4.41,0.164
65.999569,19.360591,407.357,4.0,0.042
65.999537,19.360563,353.845,3.58,2.191
65.999534,19.360345,353.747,2.59,1.067
65.999544,19.360493,363.691,2.7,0.723
65.999533,19.360426,352.906,3.38,0.041
65.999443,19.360282,364.924,3.14,0.164
65.999523,19.360448,354.428,4.18,0.388
65.999454,19.360379,364.114,4.51,0.115
65.999602,19.360348,352.281,8.07,3.796
65.999554,19.360444,350.501,1.77,0.112
65.999527,19.360438,349.541,2.3,0.886
65.99954,19.360466,349.418,2.69,0.028
65.999402,19.36042,332.171,4.8,0.443
65.999394,19.36053,330.325,2.34,0.009
65.999408,19.360652,375.071,3.51,0.95
65.999415,19.361015,374.173,9.21,0.06
65.999778,19.359776,321.006,3.03,0.08
65.99945,19.360454,352.474,3.57,0.036
65.999623,19.36019,366.459,12.64,0.101
65.999695,19.360633,353.238,5.46,0.107
65.999479,19.360879,321.828,5.58,0.025
65.999658,19.360946,344.866,3.56,0.028
65.999834,19.360685,326.801,3.65,0.398
65.9999,19.360725,357.212,2.27,0.66
66.0001,19.360293,360.304,2.28,0.376
66.000101,19.360384,350.678,2.09,0.157
66.000104,19.360223,350.648,5.03,0.043
66.000046,19.360265,355.996,4.39,0.041
66.000162,19.360214,360.917,6.28,0.416
66.000046,19.360403,345.26,4.21,0.113
66.000064,19.360308,355.987,3.08,0.436
66.000084,19.360412,358.664,3.65,0.099
66.000041,19.360238,353.862,2.26,0.02
66.000036,19.360376,348.348,4.21,0.031
66.000023,19.360312,353.653,7.49,0.021
65.999986,19.3602,339.767,14.02,0.032
66.00008,19.361927,360.08,4.18,0.186
66.000046,19.361791,341.754,3.11,0.112
66.00006,19.361646,343.966,2.56,0.447
66.000103,19.361757,342.56,2.81,0.013
65.999998,19.361186,349.844,2.74,0.026
65.999924,19.360578,360.416,3.21,0.029
65.99993,19.360747,345.671,2.32,0.219
66.00021,19.359217,351.56,2.93,0.117
66.000576,19.358963,346.501,3.19,0.017
66.000831,19.358025,335.024,4.96,0.485
66.000962,19.357324,356.235,5.47,0.14
66.001356,19.356734,361.053,2.71,0.206
66.001199,19.356513,355.954,5.53,0.714
66.001113,19.356182,364.541,2.19,0.019
66.001223,19.355816,357.158,6.58,0.025
66.001581,19.355789,359.413,2.65,0.062
66.000985,19.355756,357.743,5.52,0.145
66.001213,19.356124,355.187,6.03,0.419
66.001257,19.356116,371.633,2.3,0.543
66.001118,19.356039,336.019,4.61,0.176
66.001194,19.356048,354.199,4.24,0.071
66.001185,19.355978,356.748,2.47,0.015
66.00126,19.356371,353.66,2.83,1.073
